system,mJ_per_query,acc,median,p95,max,RR,vs_teacher_energy,vs_teacher_acc
"Graded s1-bands (np.float64(0.85), np.float64(0.9), np.float64(0.95), np.float64(1.0))",1963.357223795925,0.875,998.2422211476946,10319.573960402131,10319.573960402131,0.8804467576072725,80.406988939163,-5.963301658630371
"Graded s1-bands (np.float64(0.7), np.float64(0.9), np.float64(0.95), np.float64(1.0))",1661.8802880694263,0.8738532110091743,998.2422211476946,3214.4959076046434,10319.573960402131,0.9133899172385902,83.41553005673728,-6.077980557712936
"Graded s1-bands (np.float64(0.65), np.float64(0.9), np.float64(0.95), np.float64(1.0))",1539.6599087208456,0.8727064220183486,998.2422211476946,3214.4959076046434,10319.573960402131,0.9267452522242595,84.63520888818633,-6.192659456795512
"Graded s1-bands (np.float64(0.6), np.float64(0.9), np.float64(0.95), np.float64(1.0))",1474.4757064016026,0.8715596330275229,998.2422211476946,3214.4959076046434,10319.573960402131,0.9338680975499498,85.28570426495914,-6.307338355878079
Ladder s1..T t=0.9,480.95455667827986,0.8291284403669725,298.8721004397667,998.2422211476946,15435.259287849483,1.042432707156166,95.20039051755516,-10.550457621933118
Ladder s1..T t=0.95,690.5513437682328,0.8520642201834863,298.8721004397667,2498.933620722243,15435.259287849483,1.019529527519301,93.10875272592108,-8.256879640281745
Ladder s1..T t=0.98,1304.3697240403005,0.8669724770642202,298.8721004397667,5414.55742788712,15435.259287849483,0.9524560154537404,86.98324985346686,-6.766053952208351
Ladder s1..T t=0.99,2186.8740295247917,0.8876146788990825,998.2422211476946,15435.259287849483,15435.259287849483,0.8560225017561107,78.1764385360827,-4.7018337687221194
Fixed teacher,10020.701859962366,0.9346330275229358,10020.701859962364,10020.701859962364,10020.701859962364,-2.3341287027444555e-16,-2.220446049250313e-14,1.0936632044433736e-06
Fixed s4,2915.623807164877,0.9139908256880734,2915.623807164877,2915.623807164877,2915.623807164877,0.7763901405002431,70.9039960682372,-2.0642190898230273
DistilBERT,1550.3911082019272,0.8922018348623854,1550.3911082019274,1550.3911082019274,1550.3911082019274,0.9255726264753316,84.5281185902107,-4.243118172391835
Cascade s1->s4 t=0.98 (E8),1275.204843205987,0.8967889908256881,298.8721004397667,3214.4959076046434,3214.4959076046434,0.9556429369429011,87.27429614185951,-3.784402576061563
ORACLE (bound),869.2743982231549,0.9747706422018348,298.8721004397667,2915.623807164877,10020.701859962364,1.0,91.32521443736059,4.013762561553113
