system,mJ,acc,median,p95,mx,dE,dA
Teacher (baseline),10020.701859962366,0.9346330275229358,10020.701859962364,10020.701859962364,10020.701859962364,-2.220446049250313e-14,0.0
Fixed s4,2915.623807164877,0.9139908256880734,2915.623807164877,2915.623807164877,2915.623807164877,70.9039960682372,-2.0642201834862317
"Agree(s1,s2) else s3",1163.4559532109479,0.8589449541284404,998.2422211476946,2498.933620722243,2498.933620722243,88.38947641123296,-7.568807339449535
"Agree(s1,s2) else s4",1319.228328358507,0.8600917431192661,998.2422211476946,3913.8660283125714,3913.8660283125714,86.83497077555542,-7.454128440366969
"Agree(s1,s2) else teacher",2101.438756189423,0.8669724770642202,998.2422211476946,11018.94408111006,11018.94408111006,79.0290262542816,-6.766055045871555
"Agree(s1,s3) else s4",2277.699055547088,0.9048165137614679,1799.5635000143154,4715.187307179192,4715.187307179192,77.27006463841005,-2.9816513761467878
"Agree(s1,s3) else teacher",3442.8666720035562,0.9071100917431193,1799.5635000143154,11820.26535997668,11820.26535997668,65.64245977859592,-2.752293577981646
"Agree(s1,s4) else teacher",4938.2404936073435,0.9197247706422018,3214.4959076046434,13235.197767567008,13235.197767567008,50.71961462761361,-1.4908256880733939
"Agree(s2,s3) else s4",2504.3296010760587,0.8944954128440367,2200.0615202824765,5115.685327447353,5115.685327447353,75.00844116436507,-4.013761467889909
"Agree(s2,s3) else teacher",3245.799902457448,0.9013761467889908,2200.0615202824765,12220.76338024484,12220.76338024484,67.60905625357425,-3.325688073394495
"Agree(s2,s4) else teacher",4902.056552088154,0.9197247706422018,3614.9939278728048,13635.69578783517,13635.69578783517,51.08070651543599,-1.4908256880733939
"Agree(s3,s4) else teacher",5163.271194007262,0.9220183486238532,4416.315206739426,14437.01706670179,14437.01706670179,48.47395655351177,-1.261467889908252
Vote(s1+s2+s3),2498.9336207222436,0.8589449541284404,2498.9336207222436,2498.9336207222436,2498.9336207222436,75.06228949184973,-7.568807339449535
Vote(s1+s2+s4),3913.8660283125714,0.8600917431192661,3913.8660283125714,3913.8660283125714,3913.8660283125714,60.94219663444541,-7.454128440366969
Vote(s1+s3+s4),4715.187307179192,0.9048165137614679,4715.187307179192,4715.187307179192,4715.187307179192,52.94553841564047,-2.9816513761467878
Vote(s2+s3+s4),5115.685327447354,0.8944954128440367,5115.685327447353,5115.685327447353,5115.685327447353,48.948832138325216,-4.013761467889909
Vote(s1+s2+s3+s4),5414.557427887119,0.9002293577981652,5414.55742788712,5414.55742788712,5414.55742788712,45.96628556008696,-3.4403669724770602
Unanimous(s1+s2+s3) else s4,3050.6284924908273,0.9002293577981652,2498.9336207222436,5414.557427887121,5414.557427887121,69.55673828916527,-3.4403669724770602
Unanimous(s1+s2+s3) else teacher,4395.052665325215,0.908256880733945,2498.9336207222436,12519.635480684608,12519.635480684608,56.140271143225874,-2.6376146788990806
Unanimous(s1+s2+s4) else teacher,5970.8679009424595,0.9231651376146789,3913.8660283125714,13934.567888274936,13934.567888274936,40.4146736986656,-1.1467889908256867
Unanimous(s2+s3+s4) else teacher,6655.563824276432,0.9243119266055045,5115.685327447353,15136.387187409717,15136.387187409717,33.58185966126101,-1.0321100917431214
Cascade s1->s4 t=0.99,1796.8072674235566,0.908256880733945,3214.4959076046434,3214.4959076046434,3214.4959076046434,82.06904773204873,-2.6376146788990806
ORACLE (bound),869.2743982231549,0.9747706422018348,298.8721004397667,2915.623807164877,10020.701859962364,91.32521443736059,4.013761467889909
