system,mJ,acc,p95,dE,dA
agree(s1+s2)&conf>=0.995->T,8697.634705293092,0.9334862385321101,11018.94408111006,13.20333818088707,-0.11467889908256534
agree(s1+s3)&conf>=0.995->T,9487.464353586358,0.9334862385321101,11820.26535997668,5.321358861164738,-0.11467889908256534
agree(s1+s4)&conf>=0.99->T,8604.070646506418,0.9334862385321101,13235.197767567008,14.137045820274185,-0.11467889908256534
agree(s1+s4)&conf>=0.995->T,10925.380022323387,0.9334862385321101,13235.197767567008,-9.028091794404713,-0.11467889908256534
agree(s1+distilbert)&conf>=0.995->T,9537.164062213738,0.9334862385321101,11869.965068604059,4.825388525733887,-0.11467889908256534
agree(s2+s3)&conf>=0.995->T,9899.45400442787,0.9334862385321101,12220.76338024484,1.2099736847669296,-0.11467889908256534
agree(s2+s4)&conf>=0.99->T,8981.585405627877,0.9334862385321101,13635.69578783517,10.369697341124073,-0.11467889908256534
agree(s2+s4)&conf>=0.995->T,11337.369673164902,0.9334862385321101,13635.69578783517,-13.139476970802555,-0.11467889908256534
agree(s2+distilbert)&conf>=0.995->T,9949.15371305525,0.9334862385321101,12270.46308887222,0.7140033493360898,-0.11467889908256534
agree(s3+s4)&conf>=0.995->T,12127.199321458173,0.9334862385321101,14437.01706670179,-21.02145629052494,-0.11467889908256534
agree(s3+distilbert)&conf>=0.995->T,10738.98336134852,0.9334862385321101,13071.784367738841,-7.16797597038632,-0.11467889908256534
agree(s4+distilbert)&conf>=0.995->T,12176.899030085551,0.9334862385321101,14486.716775329169,-21.51742662595577,-0.11467889908256534
agree(s1+distilbert)&conf>=0.99->T,7123.921641809958,0.9311926605504587,11869.965068604059,28.90795733307334,-0.34403669724770714
agree(s2+distilbert)&conf>=0.99->T,7501.436400931416,0.9311926605504587,12270.46308887222,25.14060885392323,-0.34403669724770714
agree(s3+s4)&conf>=0.99->T,9713.956901054391,0.9311926605504587,14437.01706670179,3.0611125168145237,-0.34403669724770714
agree(s1+s3)&conf>=0.99->T,7062.730302609226,0.930045871559633,11820.26535997668,29.518606567586758,-0.4587155963302725
agree(s2+s3)&conf>=0.99->T,7440.245061730684,0.930045871559633,12220.76338024484,25.751258088436646,-0.4587155963302725
agree(s3+distilbert)&conf>=0.99->T,8256.791157504631,0.930045871559633,13071.784367738841,17.60266623144856,-0.4587155963302725
agree(s4+distilbert)&conf>=0.99->T,9729.181717961717,0.930045871559633,14486.716775329169,2.90917887863138,-0.4587155963302725
agree(s2+s4)&conf>=0.95->T,6384.476896050476,0.9288990825688074,13635.69578783517,36.28712853378461,-0.5733944954128378
agree(s1+s4)&conf>=0.95->T,6144.861703809233,0.9277522935779816,13235.197767567008,38.67833022394389,-0.6880733944954143
agree(s3+s4)&conf>=0.95->T,6875.524149436612,0.9277522935779816,14437.01706670179,31.386800590209006,-0.6880733944954143
agree(s1+s4)&conf>=0.98->T,7064.192149677339,0.926605504587156,13235.197767567008,29.504018297338398,-0.8027522935779796
agree(s2+s4)&conf>=0.98->T,7430.215278225447,0.926605504587156,13635.69578783517,25.85134871727085,-0.8027522935779796
agree(s1+s2)&conf>=0.99->T,6192.459240302499,0.9254587155963303,11018.94408111006,38.203338180887094,-0.917431192660545
agree(s2+s4)&conf>=0.9->T,5775.420475662855,0.9254587155963303,13635.69578783517,42.36511018516076,-0.917431192660545
agree(s3+s4)&conf>=0.98->T,8093.636990211853,0.9254587155963303,14437.01706670179,19.230837287456716,-0.917431192660545
agree(s4+distilbert)&conf>=0.95->T,6787.324291183773,0.9254587155963303,14486.716775329169,32.26697704376902,-0.917431192660545
3of3(s2+s3+s4)->T,6655.563824276432,0.9243119266055045,15136.387187409717,33.58185966126101,-1.0321100917431214
unan(s2+s3+s4)->T,6655.563824276432,0.9243119266055045,15136.387187409717,33.58185966126101,-1.0321100917431214
4of4(s2+s3+s4+distilbert)->T,8320.871238211876,0.9243119266055045,16686.778295611646,16.963189260645994,-1.0321100917431214
unan(s2+s3+s4+distilbert)->T,8320.871238211876,0.9243119266055045,16686.778295611646,16.963189260645994,-1.0321100917431214
agree(s3+s4)&conf>=0.9->T,6151.551423315478,0.9243119266055045,14437.01706670179,38.61157123241084,-1.0321100917431214
3of3(s1+s2+s4)->T,5970.8679009424595,0.9231651376146789,13934.567888274936,40.4146736986656,-1.1467889908256867
