label,kind,ckpt,params,mJ_per_query,sd,ci95,ms_per_query,trials,n,idle_W,seq_len,batch,dtype,threads
teacher,cls,yoshitomo-matsubara/bert-large-uncased-sst2,335143938,10020.701859962364,209.5279276194847,183.6593262219948,331.1429212535998,5,1000,5.019095133139793,128,1,float32,6
teacher_int8,cls_int8,yoshitomo-matsubara/bert-large-uncased-sst2,31881216,5242.275138932508,246.96375610418926,216.47327667803714,168.81392195039976,5,1000,5.019095133139793,128,1,float32,6
s1,enc,google/bert_uncased_L-4_H-256_A-4,11170560,298.8721004397667,18.431927856404293,16.156297108170456,6.217394158199977,5,1000,5.019095133139793,128,1,float32,6
s2,enc,google/bert_uncased_L-4_H-512_A-8,28763648,699.370120707928,42.12165683207946,36.92126009656766,14.897066126199979,5,1000,5.019095133139793,128,1,float32,6
s3,enc,google/bert_uncased_L-6_H-768_A-12,66955008,1500.6913995745488,121.64569164818631,106.62714999256661,38.5180213757998,5,1000,5.019095133139793,128,1,float32,6
s4,enc,bert-base-uncased,109482240,2915.623807164877,124.96266560799886,109.53460586003172,82.65934668100022,5,1000,5.019095133139793,128,1,float32,6
distilbert_baseline,enc,distilbert-base-uncased,66362880,1550.3911082019274,47.72275305976658,41.830837406709065,39.792796808999995,5,1000,5.019095133139793,128,1,float32,6
router_heuristic,heur,,0,0.34910608106777036,0.052333638463832606,0.04587245666109073,0.017638103399895043,5,1000,5.019095133139793,128,1,float32,6
router_linear,lin,,0,5.802280138952921,0.08747401785625267,0.07667435727511167,0.15002964500017696,5,1000,5.019095133139793,128,1,float32,6
router_neural,enc,distilbert-base-uncased,66362880,1533.2945004621122,99.41246854586285,87.13887069200672,39.916391067199946,5,1000,5.019095133139793,128,1,float32,6
