system,mJ_per_query,acc,median,p95,max,RR,router_mJ,routing_acc,dominated,dist
Fixed s1,298.8721004397667,0.8084862385321101,298.8721004397667,298.8721004397667,298.8721004397667,1.0623293251427888,0.0,0.8084862385321101,False,"{""s1"": 872, ""s2"": 0, ""s3"": 0, ""s4"": 0, ""teacher"": 0}"
Fixed s2,699.3701207079282,0.8405963302752294,699.370120707928,699.370120707928,699.370120707928,1.0185658770968324,0.0,0.07110091743119266,False,"{""s1"": 0, ""s2"": 872, ""s3"": 0, ""s4"": 0, ""teacher"": 0}"
Oracle (bound),869.2743982231549,0.9747706422018348,298.8721004397667,2915.623807164877,10020.701859962364,1.0,0.0,1.0,False,"{""s1"": 705, ""s2"": 62, ""s3"": 46, ""s4"": 22, ""teacher"": 37}"
Fixed s3,1500.6913995745488,0.8853211009174312,1500.6913995745488,1500.6913995745488,1500.6913995745488,0.9310034413766315,0.0,0.052752293577981654,False,"{""s1"": 0, ""s2"": 0, ""s3"": 872, ""s4"": 0, ""teacher"": 0}"
DistilBERT only,1550.3911082019274,0.892201840877533,1550.3911082019274,1550.3911082019274,1550.3911082019274,0.9255726264753316,0.0,nan,False,"{""distilbert"": 872}"
Cascade (s1->T),2217.9744061894394,0.9598623853211009,298.8721004397667,10319.573960402131,10319.573960402131,0.8526240836629037,0.0,nan,False,"{""s1"": 705, ""s1+T"": 167}"
Fixed s4,2915.623807164877,0.9139908256880734,2915.623807164877,2915.623807164877,2915.623807164877,0.7763901405002431,0.0,0.02522935779816514,True,"{""s1"": 0, ""s2"": 0, ""s3"": 0, ""s4"": 872, ""teacher"": 0}"
Teacher int8,5242.275138932508,0.9346330165863037,5242.275138932508,5242.275138932508,5242.275138932508,0.5221509694534285,0.0,nan,True,"{""teacher_int8"": 872}"
AMSD-C (linear),6521.130965201701,0.8967889908256881,10026.504140101317,10026.504140101317,10026.504140101317,0.3824071063658496,5.802280138952921,0.14908256880733944,True,"{""s1"": 123, ""s2"": 98, ""s3"": 67, ""s4"": 53, ""teacher"": 531}"
AMSD-C (heuristic),6833.685298079377,0.9013761467889908,10021.050966043433,10021.050966043433,10021.050966043433,0.34825349107638576,0.34910608106777036,0.11926605504587157,True,"{""s1"": 86, ""s2"": 82, ""s3"": 80, ""s4"": 70, ""teacher"": 554}"
Fixed teacher,10020.701859962366,0.9346330275229358,10020.701859962364,10020.701859962364,10020.701859962364,-2.3341287027444555e-16,0.0,0.04243119266055046,True,"{""s1"": 0, ""s2"": 0, ""s3"": 0, ""s4"": 0, ""teacher"": 872}"
